term,estimate,std.error,statistic,conf.low,conf.high,coef.type,OR,OR_lo,OR_hi
primary_attackers,-4.283227306958918,3.4443641733371355,-1.2435465854962238,-11.395727635788704,2.3130445742056764,coefficient,0.013798059578503198,1.1243418353156839e-5,10.105143727974825
ball_playing_defenders,-5.046878235265306,4.22109316156161,-1.1956329893932485,-13.786716726708434,2.9816146399505126,coefficient,0.0064293731407129295,1.0292123811759069e-6,19.7196310575545
conservative_anchors,-6.930600969986808,2.754461095405325,-2.5161368158539754,-13.022291659836533,-2.009769718535421,coefficient,9.774132958008477e-4,2.210500362176264e-6,0.1340195333299972
