player_name,team_name,pos_raw,Profile_Label,Certainty
André Ayew Pelé,Ghana,Center Attacking Midfield,Clinical Finishers,0.9999085116041657
Bernardo Mota Veiga de Carvalho e Silva,Portugal,Right Center Midfield,Ball-Playing Defenders,0.7588060510523837
